<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GF10V19,20200102,21380,21460,21330,21430,3299
GF10Z19,20200102,21580,21700,21560,21620,3726
GFG20,20200102,21850,21950,21850,21950,234
GFJ20,20200102,21920,22020,21920,22020,126
GFM20,20200102,22070,22090,22060,22090,3
GFPTH20,20200102,12.3,12.8,12.3,12.8,202
GFPTM20,20200102,11.05,14.06,11.05,14.06,2
GFV19,20200102,21380,21460,21340,21420,279
GFZ19,20200102,21580,21680,21570,21620,122
GLOBALM20,20200102,15.77,15.77,15.77,15.77,100
GLOBALU20,20200102,15.71,15.71,15.71,15.71,300
GOH20,20200102,1532.1,1541.5,1531.9,1539.4,11022
GOZ19,20200102,1504.5,1513.2,1503.9,1509.1,10219
GPSCH20X,20200102,85.24,85.8,85,85.2,415
GPSCM20X,20200102,85.45,85.45,85.45,85.45,101
GPSCU20,20200102,87.86,87.86,87.86,87.86,700
GULFH20,20200102,164.87,168,164.87,167.3,1178
GULFM20,20200102,164.77,164.77,164.77,164.77,101
HANAH20,20200102,34,34,32,32,2
HMPROH20,20200102,15.75,15.75,15.75,15.75,301
HMPROU20,20200102,15.35,15.35,15.35,15.35,200
ICHIH20,20200102,5,5,5,5,10
INTUCHH20,20200102,57.15,58.01,56.75,57.3,66
INTUCHM20,20200102,57.5,57.5,57.5,57.5,5
IRPCH20,20200102,3.64,3.9,3.64,3.9,48599
IRPCM20,20200102,3.73,3.86,3.73,3.86,8505
IRPCU20,20200102,3.92,3.92,3.92,3.92,12500
ITDH20,20200102,1.51,1.59,1.51,1.53,838
ITDM20,20200102,1.58,1.58,1.58,1.58,1
IVLH20,20200102,35.25,36.5,35,36.45,4077
IVLM20,20200102,35,36,35,36,22
JASH20,20200102,4.98,5,4.98,5,1508
KBANKH20,20200102,151,153.5,151,153.25,350
KBANKM20,20200102,152.99,152.99,152,152,42
KBANKU20,20200102,152.5,152.5,152.5,152.5,20
KCEH20,20200102,23.31,23.4,22.01,22.65,3476
KCEM20,20200102,23.1,23.1,22.9,22.9,1106
KKPH20,20200102,67.13,67.13,67.13,67.13,260
KKPM20,20200102,66.38,66.38,66.38,66.38,300
KTBH20,20200102,16.58,16.79,16.58,16.78,1852
KTBM20,20200102,16.4,16.48,16.38,16.38,163
KTCH20,20200102,39,39,38.24,38.99,233
LHH20,20200102,9.71,10.22,9.71,10.22,1343
LHM20,20200102,10.18,10.18,10.18,10.18,500
LPNH20,20200102,4.35,4.54,4.35,4.53,180
MAJORH20,20200102,24.99,24.99,24.99,24.99,1
MINTH20,20200102,36.2,36.2,35.75,35.99,1147
MINTM20,20200102,36,36,36,36,100
ORIH20,20200102,6.94,7.12,6.94,7.12,536
ORIM20,20200102,7.32,7.32,7.32,7.32,500
PLANBH20,20200102,7.55,7.65,7.55,7.65,1550
PLANBM20,20200102,7.63,7.63,7.63,7.63,1000
PLANBU20,20200102,7.52,7.52,7.52,7.52,500
PRMH20,20200102,7.26,7.26,7.22,7.22,5
PRMM20,20200102,7.24,7.24,7.24,7.24,1000
PSHH20,20200102,14.75,14.75,14.75,14.75,104
PSLH20,20200102,7.6,7.91,7.6,7.7,59
PTGH20,20200102,16.1,16.3,16.08,16.15,2120
PTTEPH20,20200102,124,126.39,124,126,1016
PTTEPM20,20200102,128.99,128.99,125,127.89,43
PTTEPU20,20200102,127.48,127.48,127.48,127.48,80
PTTGCH20,20200102,56,57.8,56,57.68,1095
PTTGCM20,20200102,59.44,59.88,56.32,56.32,84
PTTGCU20,20200102,58.75,58.75,58.75,58.75,100
PTTH20,20200102,43.94,44.95,43.94,44.84,2366
PTTM20,20200102,44.25,44.88,44.25,44.55,105
PTTU20,20200102,44.65,44.66,44.65,44.66,13
QHH20,20200102,2.6,2.63,2.6,2.63,6879
RATCHH20,20200102,68.33,68.7,68.06,68.5,126
RATCHU20,20200102,67.91,67.91,67.91,67.91,20
ROBINSH20,20200102,62.5,64.5,62.5,64.03,677
ROBINSM20,20200102,60,63.3,60,63.3,204
ROBINSU20,20200102,61.99,63.3,61,63.3,665
RSH20,20200102,12.4,12.4,12.4,12.4,610
RSS3DF20,20200102,49,49.4,48.7,48.7,68
RSS3DG20,20200102,49.9,50.5,49.9,50.3,60
RSS3DH20,20200102,51.1,51.5,51.1,51.5,62
RSS3DJ20,20200102,52.2,52.6,52.2,52.6,64
RSS3DK20,20200102,52.3,52.7,52.3,52.6,64
S50F20,20200102,1072.1,1081.3,1071.4,1079.5,51
S50H20,20200102,1065.2,1079.3,1065,1076.7,168099
S50M20,20200102,1061,1074,1061,1072,14482
S50U20,20200102,1058.9,1067.9,1055.1,1065.9,2686
SAMARTH20,20200102,6.84,6.84,6.84,6.84,4
SAWADH20X,20200102,68,68,66.19,66.19,45
SAWADM20,20200102,68.54,68.54,68.54,68.54,40
SCBH20,20200102,122,122.5,122,122.5,225
SCBU20,20200102,118.47,118.47,118.47,118.47,10
SCCH20,20200102,392.37,393.1,392.37,392.75,189
SCCM20,20200102,393.5,393.5,390,390,3
SGPH20,20200102,9.62,9.62,9.62,9.62,502
SH20,20200102,2.6,2.64,2.6,2.61,1029
SIRIH20,20200102,1.11,1.15,1.1,1.13,1117
SIRIM20,20200102,1.12,1.16,1.12,1.16,7
SIRIU20,20200102,1.14,1.17,1.14,1.17,9
SPALIH20,20200102,17.9,18.8,17.9,18.5,917
SPALIU20,20200102,18.76,18.76,18.76,18.76,300
SPRCH20,20200102,10.71,10.95,10.71,10.92,2544
SPRCM20,20200102,10.91,10.91,10.91,10.91,1000
STAH20,20200102,10.28,10.49,10.26,10.37,206
STECH20,20200102,14.3,14.79,14.3,14.5,3401
STECM20,20200102,14.75,14.91,14.5,14.5,205
SUPERH20,20200102,0.55,0.55,0.55,0.55,3000
SUPERM20,20200102,0.55,0.55,0.55,0.55,1000
THAIH20,20200102,6.85,6.91,6.85,6.91,103
TISCOH20,20200102,102.37,102.37,102.37,102.37,120
TISCOM20,20200102,97,97,97,97,41
TMBH20X,20200102,1.67,1.71,1.66,1.68,5840
TMBM20X,20200102,1.67,1.67,1.66,1.67,2143
TMBU20,20200102,1.66,1.71,1.66,1.71,32505
TOPH20,20200102,69.25,70.88,69.25,70,1409
TOPM20,20200102,70.48,70.48,70.48,70.48,120
TPIPLH20,20200102,1.38,1.42,1.33,1.39,2340
TRUEH20,20200102,4.62,4.63,4.55,4.62,2398
TRUEM20,20200102,4.62,4.65,4.58,4.65,1010
TTAH20,20200102,4.23,4.48,4.05,4.47,197
TUH20,20200102,13.47,13.55,13.47,13.55,315
TUM20,20200102,13.6,13.6,13.6,13.6,460
UNIQH20,20200102,7.3,7.3,7.3,7.3,100
USDF20,20200102,30.1,30.1,30.08,30.09,42
USDH20,20200102,30,30.13,30,30.1,6886
VGIH20,20200102,9.75,9.9,9.75,9.9,36
WHAH20,20200102,3.93,3.96,3.92,3.95,7954
WHAM20,20200102,3.92,3.92,3.92,3.92,1500
