<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CBG13C2004A,20200102,0.6,0.61,0.54,0.55,9622400
CBG13P2001A,20200102,0.03,0.03,0.03,0.03,65000
CBG16C2001A,20200102,0.88,0.9,0.77,0.79,3803200
CBG19C2004A,20200102,0.5,0.51,0.46,0.46,5026900
CBG19P2002A,20200102,0.13,0.15,0.13,0.14,1192000
CBG24C2003A,20200102,0.43,0.44,0.38,0.39,1482800
CBG41C2002A,20200102,0.46,0.46,0.46,0.46,360000
CBG41C2004A,20200102,0.55,0.55,0.51,0.52,240100
CBG41P2003A,20200102,0.56,0.61,0.54,0.59,5170800
CBG41P2004A,20200102,1.15,1.21,1.13,1.18,3478000
CBG42C2003A,20200102,0.28,0.28,0.24,0.24,450000
CENT01C2003A,20200102,0.07,0.07,0.06,0.07,1525300
CENT01C2003B,20200102,0.02,0.02,0.02,0.02,449700
CENT01P2003A,20200102,0.56,0.59,0.56,0.58,12186000
CENT06C2003A,20200102,0.05,0.05,0.05,0.05,393800
CENT11C2004A,20200102,0.04,0.04,0.04,0.04,100
CENT11C2007A,20200102,0.12,0.12,0.12,0.12,130000
CENT13C2003A,20200102,0.05,0.05,0.04,0.05,2517800
CENT13C2005A,20200102,0.17,0.17,0.15,0.15,3774000
CENT19C2004A,20200102,0.09,0.09,0.09,0.09,100000
CENT19C2005A,20200102,0.48,0.48,0.45,0.46,2313800
CENT24C2003A,20200102,0.02,0.02,0.02,0.02,30000
CENT28C2004A,20200102,0.05,0.06,0.05,0.05,3168300
CENT28C2005A,20200102,0.12,0.12,0.11,0.11,880100
CENT41P2002A,20200102,0.66,0.69,0.66,0.69,4000
CHG01C2001A,20200102,0.39,0.41,0.39,0.41,11752800
CHG01C2001B,20200102,0.12,0.12,0.12,0.12,13490200
CHG06C2002A,20200102,0.12,0.13,0.12,0.12,2015000
CHG06P2003A,20200102,0.15,0.15,0.14,0.14,2040000
CHG08C2005A,20200102,0.19,0.19,0.19,0.19,1700000
CHG13C2003A,20200102,0.12,0.13,0.11,0.12,20129000
CHG16C2002A,20200102,0.16,0.17,0.16,0.17,3930600
CHG19C2004A,20200102,0.27,0.28,0.27,0.28,4205100
CK01C2001A,20200102,0.01,0.01,0.01,0.01,35000
CK01C2001B,20200102,0.02,0.02,0.02,0.02,400
CK01C2005A,20200102,0.52,0.57,0.52,0.57,6137500
CK01C2005B,20200102,0.32,0.34,0.32,0.34,8450800
CK01P2001A,20200102,0.82,0.82,0.81,0.81,7817000
CK01P2005A,20200102,0.37,0.38,0.37,0.37,8559400
CK06C2004A,20200102,0.32,0.36,0.32,0.36,3305200
CK11C2007A,20200102,0.28,0.3,0.28,0.3,5496000
CK13C2003A,20200102,0.26,0.29,0.26,0.29,18986300
CK16C2006A,20200102,0.21,0.23,0.21,0.23,8075200
CK19C2004A,20200102,0.29,0.32,0.29,0.32,3263400
CK41C2003A,20200102,0.25,0.26,0.25,0.26,5252000
CK41C2004A,20200102,0.16,0.16,0.16,0.16,3604000
CKP01C2004A,20200102,0.13,0.14,0.13,0.13,8611100
CKP01P2004A,20200102,0.49,0.49,0.48,0.48,444200
CKP08C2004A,20200102,0.06,0.07,0.06,0.07,5100
CKP11C2006A,20200102,0.08,0.09,0.08,0.09,1100
CKP13C2003A,20200102,0.05,0.05,0.05,0.05,13000
CKP13C2004A,20200102,0.15,0.15,0.15,0.15,85000
CKP13C2004B,20200102,0.55,0.57,0.55,0.56,3155500
CKP16C2005A,20200102,0.02,0.03,0.02,0.03,287000
CKP16C2007A,20200102,0.51,0.52,0.51,0.52,2414400
CKP19C2005A,20200102,0.15,0.15,0.15,0.15,199400
CKP24C2006A,20200102,0.42,0.43,0.42,0.43,981000
CKP28C2003A,20200102,0.01,0.01,0.01,0.01,20000
CKP28C2004A,20200102,0.06,0.06,0.06,0.06,15000
CKP28C2004B,20200102,0.1,0.1,0.1,0.1,95000
COM708C2002A,20200102,0.12,0.12,0.1,0.1,621100
COM711C2004A,20200102,0.18,0.18,0.13,0.14,3058700
COM713C2001A,20200102,0.01,0.01,0.01,0.01,500000
COM713C2004A,20200102,0.16,0.16,0.12,0.12,4143500
COM716C2001A,20200102,0.37,0.37,0.24,0.24,2159300
COM719C2003A,20200102,0.48,0.48,0.36,0.36,437600
COM719C2005A,20200102,0.17,0.17,0.14,0.15,9892800
COM719P2004A,20200102,0.22,0.27,0.22,0.27,7133300
COM741C2002A,20200102,0.35,0.35,0.26,0.26,100000
COM741C2004A,20200102,0.12,0.13,0.12,0.13,200
COM741C2006A,20200102,0.18,0.18,0.17,0.17,200000
COM742C2004A,20200102,0.11,0.11,0.11,0.11,105000
CPAL01C2002A,20200102,0.1,0.1,0.07,0.08,15794000
CPAL01C2002B,20200102,0.02,0.02,0.01,0.02,165100
CPAL01C2004A,20200102,0.35,0.36,0.31,0.31,25551900
CPAL01C2004B,20200102,0.22,0.23,0.19,0.19,21712600
CPAL01C2006A,20200102,0.62,0.63,0.57,0.57,10925500
CPAL01C2006B,20200102,0.42,0.44,0.38,0.38,25526800
CPAL01P2002A,20200102,1.39,1.51,1.39,1.51,8827800
CPAL01P2002B,20200102,1.04,1.14,0.96,1.14,7477000
CPAL01P2004A,20200102,1.03,1.12,0.99,1.12,8308200
CPAL01P2004B,20200102,0.57,0.66,0.55,0.66,33622400
CPAL08C2004A,20200102,0.18,0.19,0.15,0.15,3702100
CPAL08P2002A,20200102,0.66,0.77,0.66,0.77,1943800
CPAL11C2006A,20200102,0.13,0.13,0.11,0.11,4611100
CPAL11C2007A,20200102,0.38,0.39,0.34,0.34,13668300
CPAL13C2002A,20200102,0.09,0.09,0.07,0.07,4203900
CPAL13C2004A,20200102,0.39,0.41,0.35,0.35,56525200
CPAL13P2003A,20200102,0.66,0.77,0.66,0.77,37936200
CPAL16C2006A,20200102,0.26,0.27,0.23,0.23,11284100
CPAL16C2007A,20200102,0.43,0.44,0.37,0.37,15285800
CPAL19C2002A,20200102,0.01,0.02,0.01,0.02,10000
CPAL19C2004A,20200102,0.21,0.21,0.17,0.17,6402700
CPAL19P2004A,20200102,0.41,0.46,0.39,0.46,19177800
CPAL24C2005A,20200102,0.18,0.19,0.16,0.16,5347000
CPAL28C2004A,20200102,0.17,0.18,0.13,0.13,3374000
CPAL28C2005A,20200102,0.32,0.32,0.27,0.27,5133900
CPAL41C2005A,20200102,0.39,0.39,0.35,0.35,6158700
CPAL41P2003A,20200102,0.52,0.6,0.52,0.6,900000
CPAL41P2004A,20200102,0.49,0.54,0.49,0.54,8386600
CPAL41P2005A,20200102,0.85,0.91,0.85,0.91,600000
CPAL41P2006A,20200102,0.64,0.65,0.64,0.65,3088000
CPAL42C2003A,20200102,0.02,0.02,0.02,0.02,1299700
CPAL42C2005A,20200102,0.23,0.24,0.19,0.19,2456800
CPF01C2001A,20200102,0.11,0.12,0.11,0.11,15248400
CPF01C2004A,20200102,0.25,0.26,0.25,0.25,6335400
CPF01C2004B,20200102,0.17,0.17,0.17,0.17,8938800
CPF01P2001A,20200102,0.3,0.3,0.28,0.3,901900
CPF01P2001B,20200102,0.06,0.06,0.06,0.06,10192200
CPF01P2004A,20200102,0.22,0.22,0.22,0.22,31000
CPF11C2004A,20200102,0.07,0.07,0.07,0.07,1000
CPF11C2007A,20200102,0.26,0.26,0.26,0.26,1320000
CPF13C2003A,20200102,0.15,0.16,0.15,0.16,3595400
CPF16C2007A,20200102,0.21,0.21,0.21,0.21,2084900
CPF19C2003A,20200102,0.11,0.11,0.11,0.11,1278000
CPF19C2005A,20200102,0.25,0.25,0.25,0.25,10000
CPF19P2002A,20200102,0.05,0.05,0.05,0.05,20000
CPF24C2007A,20200102,0.27,0.28,0.27,0.28,2908000
CPF28C2004A,20200102,0.18,0.18,0.18,0.18,658400
CPN01C2001A,20200102,0.05,0.06,0.04,0.05,4872200
CPN01C2005A,20200102,0.58,0.6,0.56,0.56,9366600
CPN01C2005B,20200102,0.28,0.31,0.28,0.28,11193300
CPN01P2001A,20200102,1.3,1.33,1.23,1.3,3159800
CPN01P2005A,20200102,0.56,0.58,0.52,0.56,12191900
CPN11C2006A,20200102,0.16,0.17,0.16,0.16,1104200
CPN13C2004A,20200102,0.24,0.27,0.24,0.24,7378400
CPN16C2005A,20200102,0.43,0.45,0.41,0.42,8307800
CPN19C2004A,20200102,0.27,0.27,0.24,0.25,1374000
CPN41C2003A,20200102,0.18,0.18,0.18,0.18,100000
CPN41C2006A,20200102,0.42,0.45,0.42,0.42,3040000
CPN41P2003A,20200102,0.24,0.24,0.21,0.24,3126000
DTAC01C2001A,20200102,0.22,0.23,0.2,0.22,10984000
DTAC01C2001B,20200102,0.01,0.01,0.01,0.01,5000
DTAC01C2004A,20200102,0.55,0.56,0.54,0.55,13320700
DTAC01C2004B,20200102,0.31,0.33,0.31,0.33,11764800
DTAC01P2001A,20200102,0.54,0.58,0.52,0.54,4280600
DTAC01P2001B,20200102,0.12,0.13,0.11,0.12,3599200
DTAC01P2004A,20200102,0.85,0.85,0.81,0.82,2680600
DTAC01P2004B,20200102,0.56,0.57,0.54,0.55,3593800
DTAC08C2005A,20200102,0.26,0.27,0.26,0.27,1498300
DTAC08C2005B,20200102,0.47,0.5,0.47,0.5,2092000
DTAC08P2002A,20200102,0.53,0.55,0.51,0.53,1704500
DTAC11C2002A,20200102,0.22,0.24,0.22,0.24,950600
DTAC13C2003A,20200102,0.18,0.2,0.16,0.17,7086800
DTAC13P2003A,20200102,0.62,0.63,0.58,0.61,3516400
DTAC16C2001A,20200102,0.06,0.06,0.06,0.06,511200
DTAC19C2001A,20200102,0.02,0.03,0.02,0.02,3091000
DTAC19C2005A,20200102,0.37,0.38,0.35,0.37,3007500
DTAC19P2002A,20200102,0.46,0.49,0.44,0.45,1651700
DTAC27C2002A,20200102,0.19,0.2,0.19,0.2,2525200
DTAC41C2005A,20200102,0.33,0.33,0.32,0.32,1976000
DTAC41P2006A,20200102,0.74,0.75,0.72,0.72,800000
DTAC42C2004A,20200102,0.28,0.3,0.27,0.29,1298400
EA06C2002A,20200102,0.02,0.03,0.02,0.03,713100
EA06C2005A,20200102,0.41,0.44,0.4,0.44,2420900
EA08C2001A,20200102,0.02,0.02,0.02,0.02,100000
EA08C2004A,20200102,0.14,0.16,0.14,0.16,572400
EA11C2005A,20200102,0.31,0.32,0.31,0.32,3324900
EA13C2001A,20200102,0.01,0.02,0.01,0.02,767400
EA13C2003A,20200102,0.28,0.3,0.26,0.3,4301600
EA13C2005A,20200102,0.41,0.45,0.41,0.45,29662200
EA13P2003A,20200102,0.25,0.25,0.24,0.24,7767100
EA16C2003A,20200102,0.03,0.04,0.03,0.04,10600
EA16C2006A,20200102,0.23,0.25,0.23,0.25,1220900
EA19C2002A,20200102,0.07,0.07,0.07,0.07,329700
EA19C2004A,20200102,0.34,0.35,0.33,0.35,3455900
EA19P2002A,20200102,0.34,0.34,0.32,0.32,193400
EA24C2003A,20200102,0.07,0.07,0.07,0.07,1000
EA24C2004A,20200102,0.38,0.4,0.37,0.4,4355500
EA27C2006A,20200102,0.36,0.39,0.36,0.39,3108400
EA28C2002A,20200102,0.04,0.04,0.03,0.03,76900
EA28C2004A,20200102,0.19,0.2,0.19,0.2,1419600
EA28C2004B,20200102,0.27,0.28,0.27,0.28,2839200
EA41C2004A,20200102,0.3,0.3,0.3,0.3,1488000
EA41C2005A,20200102,0.3,0.3,0.29,0.3,240000
EA41C2006A,20200102,0.43,0.43,0.43,0.43,1100
EA41P2004A,20200102,0.49,0.49,0.49,0.49,180000
EA42C2004A,20200102,0.28,0.31,0.28,0.31,819100
EGCO01C2001A,20200102,0.53,0.56,0.5,0.54,3356400
EGCO01C2001B,20200102,0.1,0.11,0.09,0.1,17813100
EGCO01C2004A,20200102,0.37,0.39,0.36,0.38,7545600
EGCO01C2004B,20200102,0.14,0.16,0.13,0.14,6795500
EGCO06C2004A,20200102,0.18,0.2,0.17,0.19,4861800
EGCO06P2004A,20200102,0.7,0.72,0.65,0.67,2330000
EGCO13C2002A,20200102,0.09,0.11,0.09,0.11,4117300
EGCO13C2005A,20200102,0.55,0.59,0.54,0.57,14375500
EGCO16C2001A,20200102,0.1,0.12,0.09,0.1,2940000
EGCO19C2002A,20200102,0.04,0.05,0.04,0.04,545000
EGCO19C2005A,20200102,0.38,0.41,0.36,0.39,6832400
EGCO41C2004A,20200102,0.19,0.19,0.19,0.19,300000
EGCO41C2006A,20200102,0.6,0.63,0.6,0.61,7199200
EGCO41P2001A,20200102,0.02,0.02,0.02,0.02,25000
EGCO41P2002A,20200102,0.29,0.31,0.27,0.3,4007500
EGCO41P2004A,20200102,0.89,0.91,0.86,0.9,841000
EGCO41P2006A,20200102,0.62,0.63,0.6,0.63,1776100
EPG08C2004A,20200102,0.13,0.14,0.13,0.14,220000
EPG13C2004A,20200102,0.08,0.09,0.08,0.09,126500
EPG19C2002A,20200102,0.02,0.02,0.02,0.02,61000
EPG19C2005A,20200102,0.18,0.19,0.18,0.19,1992400
EPG19P2002A,20200102,0.3,0.3,0.29,0.29,732200
ERW06C2001A,20200102,0.06,0.06,0.03,0.03,8154200
ERW06P2001A,20200102,0.02,0.04,0.02,0.04,50100
ERW13C2001A,20200102,0.01,0.01,0.01,0.01,350500
ERW13C2005A,20200102,0.21,0.21,0.15,0.15,27265800
ERW19C2001A,20200102,0.09,0.09,0.05,0.05,2040800
ERW19C2005A,20200102,0.11,0.11,0.08,0.08,1008500
ESSO01C2004A,20200102,0.59,0.72,0.59,0.71,11504600
ESSO01C2004B,20200102,0.52,0.68,0.52,0.68,11261400
ESSO08C2004A,20200102,0.58,0.72,0.58,0.72,6128600
ESSO11C2002A,20200102,0.03,0.04,0.03,0.04,25900
ESSO13C2003A,20200102,0.37,0.51,0.37,0.5,48823900
ESSO19C2001A,20200102,0.02,0.02,0.02,0.02,50000
ESSO19C2004A,20200102,0.43,0.54,0.43,0.54,12081600
ESSO24C2003A,20200102,0.36,0.53,0.36,0.52,3585000
ESSO41C2003A,20200102,0.37,0.41,0.37,0.41,4886400
ESSO41C2004A,20200102,0.62,0.68,0.62,0.68,600000
ESSO42C2003A,20200102,0.32,0.47,0.32,0.47,1910200
GFPT13C2003A,20200102,0.18,0.19,0.18,0.19,8527200
GFPT19C2004A,20200102,0.16,0.17,0.16,0.17,3956100
GFPT42C2004A,20200102,0.23,0.26,0.23,0.25,3765800
GLOB01C2003A,20200102,0.22,0.23,0.21,0.21,23939200
GLOB01P2003A,20200102,0.32,0.34,0.31,0.33,9497100
GLOB06C2002A,20200102,0.16,0.17,0.14,0.15,2036400
GLOB11C2002A,20200102,0.13,0.14,0.12,0.12,2818500
GLOB13C2002A,20200102,0.16,0.17,0.14,0.15,13924800
GLOB19C2002A,20200102,0.11,0.11,0.1,0.1,1772900
GLOB24C2005A,20200102,0.26,0.27,0.25,0.25,1599000
GLOB41C2004A,20200102,0.2,0.21,0.19,0.19,540000
GPSC01C2003A,20200102,0.82,0.85,0.8,0.83,23243900
GPSC01C2003B,20200102,0.44,0.46,0.42,0.44,25882600
GPSC01C2005A,20200102,1.03,1.04,1,1.03,9219400
GPSC01C2005B,20200102,0.71,0.73,0.69,0.72,13669900
GPSC01P2003A,20200102,0.61,0.62,0.57,0.59,17362100
GPSC01P2005A,20200102,1.05,1.05,1.02,1.03,5487200
GPSC01P2005B,20200102,0.77,0.78,0.73,0.75,9148100
GPSC08C2001A,20200102,1.52,1.56,1.52,1.56,25000
GPSC08C2004B,20200102,0.55,0.57,0.53,0.56,5012300
GPSC11C2006A,20200102,1.06,1.08,1.04,1.07,1797200
GPSC13C2001A,20200102,0.63,0.66,0.61,0.65,9379900
GPSC13C2002A,20200102,0.36,0.37,0.34,0.36,17466700
GPSC13C2005A,20200102,0.89,0.91,0.86,0.9,25120200
GPSC13P2002A,20200102,0.07,0.07,0.06,0.06,838900
GPSC13P2003A,20200102,0.58,0.6,0.56,0.57,24718500
GPSC16C2003A,20200102,1.08,1.11,1.05,1.1,8602600
GPSC16C2007A,20200102,0.89,0.92,0.86,0.9,8734700
GPSC19C2001A,20200102,0.86,0.89,0.83,0.88,1630400
GPSC19C2004A,20200102,0.57,0.58,0.55,0.57,8784300
GPSC19P2002A,20200102,0.03,0.03,0.03,0.03,20000
GPSC19P2005A,20200102,0.6,0.61,0.58,0.58,3530900
GPSC24C2002A,20200102,0.88,0.91,0.85,0.89,3887700
GPSC27C2005A,20200102,0.44,0.45,0.43,0.45,3951600
GPSC41C2002A,20200102,0.73,0.73,0.73,0.73,120000
GPSC41C2003A,20200102,0.76,0.77,0.76,0.76,250000
GPSC41C2004A,20200102,0.49,0.5,0.47,0.5,4712000
GPSC41C2005A,20200102,0.71,0.73,0.69,0.72,4150300
GPSC41P2004A,20200102,0.85,0.85,0.85,0.85,30000
GPSC41P2005A,20200102,0.97,0.97,0.94,0.94,5424800
GPSC42C2002A,20200102,0.55,0.57,0.53,0.55,1923400
GULF01C2003A,20200102,0.76,0.82,0.74,0.8,19194200
GULF01C2003B,20200102,0.3,0.33,0.29,0.32,26260400
GULF01C2005A,20200102,0.9,0.98,0.9,0.96,10858600
GULF01C2005B,20200102,0.6,0.66,0.6,0.65,17796900
GULF01P2003A,20200102,0.31,0.31,0.27,0.27,16895100
GULF01P2003B,20200102,0.48,0.48,0.42,0.44,35610800
GULF03C2005A,20200102,0.28,0.35,0.27,0.32,6261500
GULF06C2004A,20200102,0.84,0.93,0.84,0.9,3400600
GULF08C2003A,20200102,0.53,0.59,0.53,0.58,2799300
GULF11C2003A,20200102,1.59,1.69,1.59,1.65,930000
GULF11C2006A,20200102,0.62,0.67,0.62,0.65,6088900
GULF13C2001A,20200102,0.09,0.12,0.08,0.1,29700600
GULF13C2004A,20200102,0.54,0.6,0.54,0.58,73398300
GULF13P2001B,20200102,0.02,0.02,0.01,0.01,485200
GULF13P2002A,20200102,0.21,0.21,0.17,0.17,22820500
GULF13P2004A,20200102,0.8,0.8,0.74,0.75,34099200
GULF16C2001A,20200102,1.82,1.95,1.82,1.91,2510000
GULF16C2003A,20200102,0.36,0.42,0.36,0.4,10173800
GULF16C2007A,20200102,0.69,0.77,0.69,0.73,9411800
GULF19C2003A,20200102,0.56,0.64,0.56,0.61,9471400
GULF19C2004A,20200102,0.36,0.39,0.36,0.38,4729300
GULF19P2003A,20200102,0.25,0.25,0.21,0.21,1090700
GULF24C2001A,20200102,1.22,1.22,1.22,1.22,100
GULF24C2002A,20200102,0.27,0.31,0.27,0.29,2897300
GULF27C2004A,20200102,1.06,1.16,1.06,1.12,1058400
GULF28C2003A,20200102,0.2,0.22,0.2,0.22,6215200
GULF28C2003B,20200102,0.2,0.23,0.2,0.23,2230900
GULF41C2003A,20200102,0.46,0.52,0.46,0.5,10398000
GULF41P2003A,20200102,0.64,0.64,0.6,0.62,4875000
GULF41P2004A,20200102,0.97,0.97,0.89,0.91,484200
GULF42C2002A,20200102,0.46,0.55,0.46,0.51,2326900
GULF42C2003A,20200102,0.2,0.22,0.2,0.21,1456400
GUNK01C2005A,20200102,0.35,0.35,0.33,0.34,7166800
GUNK01C2005B,20200102,0.18,0.18,0.17,0.17,6851600
GUNK01P2005A,20200102,0.32,0.33,0.31,0.33,6246700
GUNK11C2007A,20200102,0.22,0.22,0.21,0.22,1770000
GUNK13C2003A,20200102,0.08,0.08,0.07,0.07,2099300
GUNK19C2003A,20200102,0.14,0.14,0.14,0.14,558700
GUNK28C2003A,20200102,0.08,0.08,0.08,0.08,405600
GUNK28C2005A,20200102,0.21,0.21,0.2,0.2,1926700
GUNK41P2005A,20200102,0.42,0.43,0.41,0.43,558600
HANA01C2001A,20200102,0.43,0.43,0.32,0.36,8905300
HANA01C2001B,20200102,0.15,0.15,0.09,0.11,21235000
HANA13C2002A,20200102,0.41,0.41,0.28,0.35,16184000
HANA19C2003A,20200102,0.45,0.45,0.38,0.42,4519200
HANA27C2001A,20200102,0.35,0.39,0.35,0.39,1048500
HANA41C2002A,20200102,0.31,0.31,0.25,0.27,203000
HMPR01C2001A,20200102,0.12,0.12,0.09,0.1,5779900
HMPR01P2001A,20200102,0.38,0.45,0.38,0.44,3585000
HMPR06C2006A,20200102,0.28,0.28,0.23,0.26,1976000
HMPR11C2003A,20200102,0.11,0.11,0.1,0.1,800000
HMPR13C2003A,20200102,0.1,0.1,0.08,0.08,1234800
HMPR19C2003A,20200102,0.09,0.09,0.08,0.08,400500
HMPR19C2005A,20200102,0.27,0.27,0.23,0.23,1773400
HMPR24C2004A,20200102,0.12,0.12,0.1,0.11,800
HMPR27P2001A,20200102,0.13,0.17,0.13,0.17,1839800
HMPR41C2005A,20200102,0.15,0.15,0.15,0.15,120000
HMPR41P2003A,20200102,0.2,0.24,0.2,0.22,1376000
HSI28C2001A,20200102,1.83,1.83,1.83,1.83,600
HSI28C2001B,20200102,1.16,1.19,1.16,1.19,10200
HSI28C2001C,20200102,0.64,0.67,0.63,0.67,2833000
HSI28C2002B,20200102,1.36,1.42,1.36,1.42,90000
HSI28C2002C,20200102,0.9,0.92,0.88,0.91,3800600
HSI28P2002A,20200102,0.27,0.28,0.26,0.26,116100
HSI28P2002C,20200102,0.09,0.09,0.08,0.08,1100000
INTU01C2003A,20200102,0.16,0.17,0.14,0.17,10772900
INTU01C2003B,20200102,0.08,0.11,0.08,0.1,8247000
INTU01C2006A,20200102,0.52,0.57,0.51,0.56,11350500
INTU01C2006B,20200102,0.34,0.39,0.33,0.38,14269900
INTU01P2003A,20200102,1.06,1.08,0.98,1,1792600
INTU01P2003B,20200102,0.44,0.46,0.38,0.38,10941000
INTU01P2006A,20200102,0.79,0.8,0.74,0.74,4390500
INTU01P2006B,20200102,0.49,0.5,0.45,0.45,6149000
INTU11C2001A,20200102,0.1,0.14,0.1,0.13,5256400
INTU13C2002A,20200102,0.04,0.04,0.04,0.04,930000
INTU13C2004A,20200102,0.26,0.3,0.24,0.29,25901500
INTU13P2004A,20200102,0.34,0.35,0.3,0.31,31523700
INTU16C2001A,20200102,0.04,0.06,0.04,0.06,715000
INTU16C2007A,20200102,0.25,0.3,0.25,0.29,9444000
INTU19C2004A,20200102,0.12,0.15,0.12,0.15,2549400
INTU19C2005A,20200102,0.34,0.39,0.33,0.38,4316700
INTU19P2002A,20200102,0.31,0.31,0.24,0.25,3715300
INTU28C2003A,20200102,0.03,0.03,0.03,0.03,320000
INTU41C2003A,20200102,0.06,0.06,0.06,0.06,200
INTU41C2006A,20200102,0.32,0.35,0.32,0.34,2864000
INTU41C2007A,20200102,0.36,0.37,0.36,0.37,576000
INTU41P2005A,20200102,0.53,0.54,0.5,0.5,3296000
INTU42C2005A,20200102,0.29,0.34,0.28,0.34,1129600
IRPC01C2002A,20200102,0.15,0.26,0.15,0.24,75014200
IRPC01C2002B,20200102,0.16,0.28,0.16,0.26,83631800
IRPC01P2002A,20200102,0.42,0.42,0.27,0.29,40444200
IRPC06C2001A,20200102,0.04,0.1,0.04,0.08,2595300
IRPC06C2005A,20200102,0.39,0.59,0.39,0.56,14576600
IRPC06P2004A,20200102,0.2,0.2,0.12,0.14,7222600
IRPC11C2001A,20200102,0.02,0.02,0.02,0.02,500
IRPC11C2005A,20200102,0.05,0.07,0.05,0.06,521900
IRPC13C2003A,20200102,0.22,0.37,0.22,0.34,132953700
IRPC19C2001A,20200102,0.01,0.01,0.01,0.01,200000
IRPC19C2003A,20200102,0.17,0.24,0.17,0.23,23471300
IRPC19C2005A,20200102,0.4,0.54,0.4,0.53,14883100
IRPC24C2002A,20200102,0.08,0.09,0.08,0.09,200
IRPC24C2004A,20200102,0.32,0.47,0.32,0.46,12363300
IRPC28C2003A,20200102,0.12,0.2,0.12,0.19,5969600
IRPC28C2003B,20200102,0.26,0.38,0.26,0.36,14070300
IRPC41C2003A,20200102,0.27,0.35,0.27,0.35,3798100
IRPC41C2004A,20200102,0.37,0.51,0.37,0.5,11182000
IRPC41C2005A,20200102,0.36,0.5,0.36,0.48,1104200
IRPC41P2001A,20200102,0.03,0.03,0.03,0.03,35000
IRPC41P2004A,20200102,0.11,0.11,0.09,0.09,2000
IRPC41P2005A,20200102,0.29,0.29,0.24,0.24,1543700
IRPC42C2002A,20200102,0.05,0.05,0.05,0.05,1000
IVL01C2002A,20200102,0.12,0.16,0.12,0.15,30232200
IVL01C2002B,20200102,0.02,0.02,0.02,0.02,10000
IVL01C2004A,20200102,0.44,0.51,0.43,0.49,58236100
IVL01C2004B,20200102,0.57,0.64,0.55,0.63,30587300
IVL01P2002A,20200102,0.55,0.58,0.47,0.5,7303700
IVL01P2002B,20200102,0.24,0.26,0.19,0.22,16450800
IVL01P2004A,20200102,0.23,0.24,0.2,0.21,11427300
IVL01P2004B,20200102,0.09,0.09,0.08,0.08,6311500
IVL06C2001A,20200102,0.06,0.06,0.06,0.06,210400
IVL06C2003A,20200102,0.75,0.9,0.72,0.87,8844500
IVL06P2001A,20200102,0.01,0.01,0.01,0.01,1805000
IVL06P2005A,20200102,0.31,0.32,0.26,0.26,11848800
IVL08C2002A,20200102,0.05,0.06,0.05,0.06,1662600
IVL08C2004A,20200102,0.51,0.59,0.5,0.56,5852600
IVL08P2003A,20200102,0.3,0.3,0.25,0.25,2496700
IVL08P2004A,20200102,0.18,0.18,0.17,0.17,480000
IVL11C2005A,20200102,0.12,0.14,0.12,0.14,11560100
IVL11C2006A,20200102,0.56,0.62,0.55,0.61,9281000
IVL13C2002A,20200102,0.07,0.1,0.06,0.1,42838000
IVL13C2002B,20200102,0.19,0.26,0.18,0.24,63726800
IVL13C2003A,20200102,0.45,0.52,0.45,0.51,3001200
IVL13P2004A,20200102,0.18,0.19,0.15,0.16,11156200
IVL16C2006A,20200102,0.35,0.41,0.34,0.4,17356000
IVL19C2002A,20200102,0.19,0.24,0.19,0.23,1890100
IVL19C2003A,20200102,0.15,0.19,0.15,0.19,13196300
IVL19C2004A,20200102,0.56,0.64,0.56,0.63,8555800
IVL24C2002A,20200102,0.2,0.25,0.2,0.25,1998000
IVL24C2003A,20200102,0.5,0.57,0.49,0.57,2596000
IVL28C2003A,20200102,0.18,0.23,0.18,0.22,4825300
IVL28C2003B,20200102,0.34,0.4,0.33,0.4,2787800
IVL41C2003A,20200102,0.25,0.3,0.25,0.29,4400000
IVL41C2005A,20200102,0.38,0.44,0.38,0.44,864200
IVL41P2001A,20200102,0.17,0.17,0.15,0.15,100000
IVL41P2005A,20200102,0.44,0.44,0.4,0.4,2452000
IVL41P2006A,20200102,0.3,0.3,0.29,0.29,360000
IVL42C2002A,20200102,0.16,0.21,0.15,0.2,6092000
JAS06C2002A,20200102,0.03,0.04,0.03,0.03,91100
JAS13C2001A,20200102,0.03,0.03,0.02,0.03,194300
JAS13C2002A,20200102,0.52,0.55,0.52,0.54,1972800
JAS13C2002B,20200102,0.14,0.14,0.14,0.14,6185600
JAS16C2002A,20200102,0.04,0.04,0.04,0.04,2446500
JAS19C2002A,20200102,0.02,0.02,0.02,0.02,1009900
JAS19C2004A,20200102,0.28,0.28,0.28,0.28,36700
JAS19P2001A,20200102,0.01,0.02,0.01,0.01,2016800
JAS41P2001A,20200102,0.43,0.43,0.43,0.43,1035200
JAS41P2005A,20200102,0.51,0.51,0.5,0.5,300000
KBAN01C2002A,20200102,0.11,0.12,0.11,0.12,10807900
KBAN01C2002B,20200102,0.01,0.01,0.01,0.01,50000
KBAN01C2004A,20200102,0.54,0.57,0.52,0.57,23016200
KBAN01C2004B,20200102,0.57,0.63,0.57,0.63,9885200
KBAN01P2002A,20200102,1.32,1.32,1.23,1.23,1841400
KBAN01P2002B,20200102,0.6,0.61,0.53,0.53,8897200
KBAN01P2004A,20200102,0.77,0.78,0.72,0.72,14408200
